"X1","SampleSite","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","padj"
"1","Point","New.ReferenceOTU0",17.3820805976274,0.0833391158287472,0.369921142842551,0.821754558492567,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,0.91071232341706
"1","Point","New.ReferenceOTU1",461.121788870692,0.745087246113213,0.240087826356329,0.00191314414799749,NA,NA,NA,NA,NA,NA,NA,0.0121234000822301
"1","Point","New.ReferenceOTU603",91.3767833800375,-0.227374528255503,0.221192699801368,0.303974427356947,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA,0.527586519835931
"1","Point","New.ReferenceOTU6",260.148001069902,2.8555662233725,0.572351148545188,6.06343072102942e-07,NA,NA,NA,NA,NA,NA,NA,9.74259715853541e-06
"1","Point","New.ReferenceOTU640",52.7776341319403,2.58640693067304,0.356330902529552,3.91576320263469e-13,NA,NA,NA,NA,NA,NA,NA,1.73464650284938e-11
"1","Point","New.ReferenceOTU330",2.39799745702642,1.07171259964101,0.580196171781235,0.0647245942668556,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Crenotrichaceae","Crenothrix",NA,0.188796662661474
"1","Point","New.ReferenceOTU708",97.8391788129672,0.416082098556165,0.457374210591583,0.362970618680386,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,0.586994449861832
"1","Point","New.ReferenceOTU1028",30.7853006413228,-0.514151825466332,0.422256102731924,0.223364494308706,"Bacteria","GN02","GKS2-174",NA,NA,NA,NA,0.436957368148273
"1","Point","New.ReferenceOTU1029",0.86413281748114,-0.782760231406299,0.944885503947103,0.407433772973709,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,0.629272102931046
"1","Point","New.ReferenceOTU1023",0.849243323083478,-1.68402732367291,1.34022156443589,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA,NA
"1","Point","New.ReferenceOTU1020",8.68026035019964,2.02034530679632,0.632274623541555,0.00139656316731135,NA,NA,NA,NA,NA,NA,NA,0.0093498720523387
"1","Point","New.ReferenceOTU1021",42.8132364726566,5.37708136737041,0.551856527030909,1.96425738486635e-22,NA,NA,NA,NA,NA,NA,NA,2.73840588360779e-20
"1","Point","New.ReferenceOTU1027",5.61570676877822,-1.02540732398669,0.433718997645612,0.018068057560559,"Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,0.0726388594946096
"1","Point","New.ReferenceOTU338",20.8039658332438,-0.357082838790078,0.369163695120452,0.333406543235436,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,0.560131840096827
"1","Point","New.ReferenceOTU339",377.511111603723,2.0082928417291,0.301188073054444,2.59484264192355e-11,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]",NA,NA,NA,8.48245111911559e-10
"1","Point","New.ReferenceOTU738",85.8537738892962,-1.14221160890137,0.410126238615591,0.00535236842462689,"Bacteria","Proteobacteria","TA18","PHOS-HD29",NA,NA,NA,0.0282519224195228
